                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57287,                0.76748,                0.94664,                0.82325,                0.83322,                0.89373,                0.78523,                0.52047,                0.52217,                 0.9065,                0.00307,                0.00307,                0.00307
                     37,                0.57119,                0.75953,                0.94682,                0.82531,                0.83612,                0.89638,                 0.7876,                0.52012,                0.51694,                0.90635,               0.002872,               0.002872,               0.002872
                     38,                0.57046,                0.75321,                0.94507,                0.83393,                0.83354,                0.89869,                0.78991,                0.51925,                0.51195,                0.90581,               0.002674,               0.002674,               0.002674
                     39,                0.56941,                 0.7453,                0.94513,                0.83392,                0.83845,                0.90053,                0.79211,                0.51872,                0.50757,                 0.9055,               0.002476,               0.002476,               0.002476
                     40,                0.53556,                 0.6051,                0.92503,                0.83662,                0.83851,                0.90144,                0.79293,                0.51835,                0.50576,                0.90522,               0.002278,               0.002278,               0.002278
                     41,                0.53391,                0.59163,                  0.923,                0.83711,                0.83999,                0.90278,                 0.7941,                0.51843,                0.50268,                0.90499,                0.00208,                0.00208,                0.00208
                     42,                0.53207,                0.57904,                0.92201,                0.84188,                0.83926,                0.90456,                0.79602,                0.51753,                0.49974,                 0.9046,               0.001882,               0.001882,               0.001882
                     43,                0.53032,                0.56493,                0.92113,                0.84344,                 0.8413,                0.90574,                0.79722,                0.51693,                0.49643,                0.90427,               0.001684,               0.001684,               0.001684
                     44,                0.52825,                0.55119,                0.92061,                0.84675,                0.84263,                0.90786,                0.79939,                 0.5165,                0.49142,                  0.904,               0.001486,               0.001486,               0.001486
                     45,                0.52605,                0.53542,                0.91853,                0.84526,                0.84694,                0.91012,                0.80175,                0.51559,                0.48643,                0.90341,               0.001288,               0.001288,               0.001288
                     46,                0.52381,                0.51855,                0.91718,                0.85051,                0.84563,                0.91184,                0.80359,                0.51545,                0.48227,                0.90327,                0.00109,                0.00109,                0.00109
                     47,                0.52148,                  0.501,                0.91605,                0.85245,                 0.8485,                0.91354,                0.80565,                0.51457,                0.47844,                0.90294,               0.000892,               0.000892,               0.000892
                     48,                0.51888,                0.48212,                0.91492,                 0.8555,                0.84938,                0.91509,                0.80742,                0.51418,                0.47463,                0.90277,               0.000694,               0.000694,               0.000694
                     49,                0.51607,                0.46316,                0.91333,                0.85699,                0.85148,                0.91637,                0.80911,                 0.5132,                0.47156,                0.90226,               0.000496,               0.000496,               0.000496
